⺁	〔※⺁※丿※丿※※〕
㨵	〔※扌※䒑※月※刀※〕
㨶	〔※扌※󰁟※灬※󰁶※〕
㨷	〔※扌※廿※口※󰁽※〕
㨸	〔※扌※宀※心※山※〕
㨹	〔※扌※三※丨※彐※〕
㨺	〔※扌※廿※冂※丶※〕
㨻	〔※車※斤※手※󰀬※〕
㨼	〔※田※夂※口※手※〕
㨽	〔※扌※一※口※刂※〕
㨾	〔※扌※丷※王※󰀩※〕
㨿	〔※扌※虍※夂※几※〕
㩀	〔※扌※虍※勹※󰂃※〕
㩁	〔※扌※宀※亻※󰁷※〕
㩂	〔※扌※⺈※用※十※〕
㩃	〔※扌※宀※󰀀※󰁦※〕
㩄	〔※扌※山※田※心※〕
㩅	〔※扌※一※󰀭※田※〕
㩆	〔※扌※󰁸※小※丶※〕
㩇	〔※扌※󰁬※土※一※〕
㩈	〔※扌※宀※八※口※〕
㩉	〔※扌※人※一※羽※〕
㩊	〔※扌※爫※罒※寸※〕
㩋	〔※扌※󰁬※十※󰀲※〕
㩌	〔※扌※弓※󰀯※貝※〕
㩍	〔※扌※⺮※木※冂※〕
㩎	〔※扌※日※月※犬※〕
㩏	〔※扌※󰀹※土※灬※〕
㩐	〔※扌※⺮※土※寸※〕
㩑	〔※扌※一※大※三※〕
㩒	〔※扌※木※木※小※〕
㩓	〔※臼※工※几※手※〕
㩔	〔※扌※尸※󰁺※又※〕
㩕	〔※扌※󰀙※人※󰁻※〕
㩖	〔※扌※一※田※一※〕
㩗	〔※扌※山※亻※乃※〕
㩘	〔※扌※丷※王※丶※〕
㩙	〔※扌※宀※󰀀※土※〕
㩚	〔※扌※艹※冖※󰀓※〕
㩛	〔※扌※囗※一※寸※〕
㩜	〔※扌※匚※丨※皿※〕
㩝	〔※扌※󰁸※冖※󰀓※〕
㩞	〔※扌※火※火※木※〕
㩟	〔※扌※宀※󰀀※朩※〕
㩠	〔※扌※󰁙※󰁴※灬※〕
㩡	〔※扌※石※石※石※〕
㩢	〔※扌※艹※罒※人※〕
㩣	〔※扌※羽※冖※車※〕
㩤	〔※扌※甫※方※攵※〕
㩥	〔※扌※十※戈※󰀞※〕
㩦	〔※扌※亻※󰁷※口※〕
㩧	〔※扌※日※󰁺※氺※〕
㩨	〔※扌※三※丨※心※〕
㩩	〔※扌※匕※水※貝※〕
㩪	〔※扌※糹※丆※貝※〕
㩫	〔※扌※斤※斤※貝※〕
㩬	〔※扌※虍※业※戈※〕
㩭	〔※扌※󰀗※乂※子※〕
㩮	〔※扌※󰀗※一※手※〕
㩯	〔※扌※󰁿※母※小※〕
㩰	〔※扌※艹※口※木※〕
㩱	〔※扌※爫※罒※寸※〕
㩲	〔※扌※艹※口※󰁷※〕
㩳	〔※扌※亻※󰁷※又※〕
㩴	〔※扌※目※目※󰁷※〕
㩵	〔※扌※虍※一※犬※〕
㩶	〔※扌※⺮※一※乂※〕
㩷	〔※扌※宀※󰀀※灬※〕
㩸	〔※扌※田※田※亠※〕
㩹	〔※扌※又※又※一※〕
㩺	〔※󰁴※󰁴※十※又※〕
㩻	〔※⺈※厂※󰀇※又※〕
㩼	〔※夕※夕※十※又※〕
㩽	〔※木※口※十※又※〕
㩾	〔※丿※一※艹※又※〕
㩿	〔※󰁿※乙※攵※󰁶※〕
㪀	〔※一※󰀛※攵※󰁶※〕
㪁	〔※人※丶※乛※又※〕
㪂	〔※气※󰀥※又※󰁶※〕
㪃	〔※丁※口※󰀥※又※〕
㪄	〔※弓※󰀯※攵※󰁶※〕
㪅	〔※一※冂※人※又※〕
㪆	〔※󰁚※󰀁※丶※又※〕
㪇	〔※丿※土※儿※攵※〕
㪈	〔※土※土※󰀥※又※〕
㪉	〔※人※一※口※攵※〕
㪊	〔※󰁬※丿※口※又※〕
㪋	〔※日※干※󰀥※又※〕
㪌	〔※󰁻※󰀒※󰀥※又※〕
㪍	〔※十※冖※孑※攵※〕
㪎	〔※大※人※人※又※〕
㪏	〔※白※丿※十※又※〕
㪐	〔※丶※尸※犬※又※〕
㪑	〔※大※日※󰁐※又※〕
㪒	〔※臼※儿※󰀥※又※〕
㪓	〔※丿※十※󰁩※又※〕
㪔	〔※木※木※󰀥※又※〕
㪕	〔※󰀥※早※󰀥※又※〕
㪖	〔※󰁭※氺※󰀥※又※〕
㪗	〔※立※口※󰀥※又※〕
㪘	〔※人※一※口※攵※〕
㪙	〔※日※木※攵※󰁶※〕
㪚	〔※󰁺※日※攵※󰁶※〕
㪛	〔※󰀎※八※󰁐※又※〕
㪜	〔※山※丆※冂※又※〕
㪝	〔※木※󰀹※󰀥※又※〕
㪞	〔※󰀰※目※󰀥※又※〕
㪟	〔※󰁸※日※攵※󰁶※〕
㪠	〔※䒑※󰁬※󰀭※又※〕
㪡	〔※宀※三※丨※又※〕
㪢	〔※臼※丨※又※又※〕
㪣	〔※󰁸※冂※口※攵※〕
㪤	〔※日※艹※󰀟※攵※〕
㪥	〔※虍※󰀐※󰀞※又※〕
㪦	〔※宀※一※由※攵※〕
㪧	〔※人※一※口※又※〕
㪨	〔※羊※䒑※口※又※〕
㪩	〔※󰁬※十※󰀲※又※〕
㪪	〔※一※大※丨※又※〕
㪫	〔※󰀥※冖※一※又※〕
㪬	〔※羽※亻※󰁷※又※〕
㪭	〔※虍※田※皿※又※〕
㪮	〔※󰀙※口※口※又※〕
㪯	〔※文※󰀟※󰀬※※〕
㪰	〔※文※米※󰁧※※〕
㪱	〔※文※⺈※󰀿※大※〕
㪲	〔※󰁦※十※乛※󰀅※〕
㪳	〔※󰁦※十※口※󰀘※〕
㪴	〔※二※儿※󰁦※十※〕
㪵	〔※丷※󰀠※󰁦※十※〕
㪶	〔※丆※日※󰁦※十※〕
㪷	〔※一※口※䒑※十※〕
㪸	〔※󰀎※八※󰁦※十※〕
㪹	〔※󰀻※女※󰁦※十※〕
㪺	〔※大※目※目※十※〕
㪻	〔※言※糹※糹※十※〕
㪼	〔※丁※口※斤※󰀢※〕
㪽	〔※一※日※斤※󰀬※〕
㪾	〔※夂※口※斤※󰀢※〕
㪿	〔※凵※丿※凵※斤※〕
㫀	〔※日※日※斤※󰀢※〕
㫁	〔※幺※幺※一※斤※〕
㫂	〔※广※廿※灬※斤※〕
㫃	〔※方※人※󰁶※※〕
㫄	〔※二※勹※方※󰁣※〕
㫅	〔※方※人※二※󰀯※〕
㫆	〔※方※人※小※󰁶※〕
㫇	〔※方※人※󰁦※乛※〕
㫈	〔※方※人※󰁦※口※〕
㫉	〔※方※⺈※厂※㔾※〕
㫊	〔※方※󰁿※丁※口※〕
㫋	〔※方※󰁿※冂※土※〕
㫌	〔※方※󰁿※一※止※〕
㫍	〔※方※󰁿※亻※攵※〕
㫎	〔※方※󰁿※冖※車※〕
㫏	〔※方※󰁿※覀※女※〕
㫐	〔※日※匕※󰀅※※〕
㫑	〔※日※力※󰁥※※〕
㫒	〔※日※廾※󰀬※※〕
㫓	〔※日※󰁿※乙※󰁀※〕
㫔	〔※日※上※󰀘※※〕
㫕	〔※日※一※儿※󰀅※〕
㫖	〔※上※日※󰀘※※〕
㫗	〔※日※子※󰀘※※〕
㫘	〔※丆※卜※日※󰀘※〕
㫙	〔※日※夫※󰁶※※〕
㫚	〔※勹※󰁤※日※󰀘※〕
㫛	〔※日※口※儿※󰁀※〕
㫜	〔※日※日※一※󰀝※〕
㫝	〔※日※󰁚※󰀁※丶※〕
㫞	〔※日※凵※丨※又※〕
㫟	〔※日※几※口※󰀝※〕
㫠	〔※日※丷※󰀟※󰀢※〕
㫡	〔※日※夂※󰁦※󰁧※〕
㫢	〔※日※土※厶※󰁶※〕
㫣	〔※日※日※乚※󰀅※〕
㫤	〔※日※丶※󰂁※󰀩※〕
㫥	〔※日※夕※口※󰀝※〕
㫦	〔※亻※丨※夂※日※〕
㫧	〔※日※米※󰁧※※〕
㫨	〔※日※宀※女※󰀝※〕
㫩	〔※十※艹※日※󰀘※〕
㫪	〔※三※人※丨※日※〕
㫫	〔※日※一※业※󰀘※〕
㫬	〔※日※勹※日※󰀝※〕
㫭	〔※日※土※寸※󰁧※〕
㫮	〔※止※匕※日※󰀘※〕
㫯	〔※日※日※一※儿※〕
㫰	〔※日※丶※艮※󰁶※〕
㫱	〔※日※土※󰁖※󰁧※〕
㫲	〔※日※十※冖※子※〕
㫳	〔※厂※二※󰀖※日※〕
㫴	〔※日※土※丿※子※〕
㫵	〔※日※丨※三※三※〕
㫶	〔※日※彐※冖※丨※〕
㫷	〔※󰀎※八※日※󰀘※〕
㫸	〔※日※一※󰁬※󰁾※〕
㫹	〔※日※⺁※󰁃※斤※〕
㫺	〔※人※人※人※日※〕
㫻	〔※日※人※一※艹※〕
㫼	〔※日※󰁿※一※刂※〕
㫽	〔※日※󰁭※氺※󰁶※〕
㫾	〔※日※⺌※冂※口※〕
㫿	〔※日※亻※󰁷※󰀝※〕
㬀	〔※日※󰁸※子※󰀝※〕
㬁	〔※日※氵※人※口※〕
㬂	〔※日※日※冂※丶※〕
㬃	〔※日※厶※口※火※〕
㬄	〔※日※厂※土※󰁖※〕
㬅	〔※日※罒※方※󰁣※〕
㬆	〔※日※󰁂※󰀁※日※〕
㬇	〔※日※⺈※󰀿※大※〕
㬈	〔※日※日※皿※󰀝※〕
㬉	〔※日※丆※冂※大※〕
㬊	〔※日※爫※一※又※〕
㬋	〔※日※亻※󰁄※大※〕
㬌	〔※日※亠※日※小※〕
㬍	〔※日※甫※寸※󰁶※〕
㬎	〔※日※幺※幺※灬※〕
㬏	〔※日※一※口※丨※〕
㬐	〔※日※一※业※日※〕
㬑	〔※日※󰁸※孑※阝※〕
㬒	〔※日※艹※犬※廾※〕
㬓	〔※日※覀※二※小※〕
㬔	〔※日※羽※人※彡※〕
㬕	〔※日※礻※󰁶※羊※〕
㬖	〔※日※丶※尸※口※〕
㬗	〔※日※󰁝※犬※灬※〕
㬘	〔※日※󰁬※十※󰀲※〕
㬙	〔※日※爫※丿※灬※〕
㬚	〔※日※亠※厶※攵※〕
㬛	〔※日※人※一※羽※〕
㬜	〔※一※厶※土※日※〕
㬝	〔※日※丷※󰀺※日※〕
㬞	〔※日※山※日※󰁐※〕
㬟	〔※勹※󰁤※丷※日※〕
㬠	〔※日※⺈※彐※灬※〕
㬡	〔※日※󰀙※人※󰁻※〕
㬢	〔※日※丷※王※丶※〕
㬣	〔※日※业※丷※寸※〕
㬤	〔※日※日※幺※灬※〕
㬥	〔※日※凵※山※米※〕
㬦	〔※日※艹※亻※又※〕
㬧	〔※日※凵※山※小※〕
㬨	〔※日※土※󰁖※󰁖※〕
㬩	〔※日※三※丨※心※〕
㬪	〔※日※日※日※彑※〕
㬫	〔※廿※口※󰁩※日※〕
㬬	〔※日※目※目※󰁷※〕
㬭	〔※日※爫※罒※寸※〕
㬮	〔※日※廿※口※󰁷※〕
㬯	〔※日※吂※月※丶※〕
㬰	〔※日※人※󰀦※※〕
㬱	〔※丿※土※儿※日※〕
㬲	〔※一※日※乂※皿※〕
㬳	〔※月※󰁿※十※󰀢※〕
㬴	〔※月※󰁺※八※󰁶※〕
㬵	〔※月※六※乂※󰁶※〕
㬶	〔※月※丿※土※口※〕
㬷	〔※月※囗※木※󰁶※〕
㬸	〔※月※艹※亻※󰁳※〕
㬹	〔※月※⺈※󰁬※亅※〕
㬺	〔※月※丷※夫※丨※〕
㬻	〔※月※艹※亠※󰀸※〕
㬼	〔※󰁼※月※󰁿※夂※〕
㬽	〔※月※口※口※󰁔※〕
㬾	〔※匚※󰁿※大※月※〕
㬿	〔※月※󰁸※孑※攵※〕
㭀	〔※月※⺮※工※人※〕
㭁	〔※木※乃※󰁥※※〕
㭂	〔※木※小※󰁶※※〕
㭃	〔※木※幺※󰁶※※〕
㭄	〔※木※⺄※十※󰀢※〕
㭅	〔※木※三※󰀝※※〕
㭆	〔※乃※一※木※󰁧※〕
㭇	〔※木※厶※儿※󰁀※〕
㭈	〔※木※󰁄※人※󰁶※〕
㭉	〔※艹※木※󰁧※※〕
㭊	〔※木※丿※丨※󰁈※〕
㭋	〔※木※三※丨※󰀢※〕
㭌	〔※木※丿※󰀟※󰀢※〕
㭍	〔※冫※七※木※󰁧※〕
㭎	〔※木※冂※乂※󰁶※〕
㭏	〔※木※二※󰂁※丨※〕
㭐	〔※大※一※木※󰁧※〕
㭑	〔※木※未※󰁶※※〕
㭒	〔※木※㠯※󰀝※※〕
㭓	〔※木※厶※廾※󰀢※〕
㭔	〔※木※丿※丷※󰀛※〕
㭕	〔※木※土※厶※󰁶※〕
㭖	〔※木※亻※󰀁※丶※〕
㭗	〔※木※皿※󰀘※※〕
㭘	〔※木※人※一※口※〕
㭙	〔※木※土※寸※󰁶※〕
㭚	〔※木※󰁿※󰀕※󰁶※〕
㭛	〔※木※⺁※󰀕※󰁶※〕
㭜	〔※木※戈※󰁼※󰁥※〕
㭝	〔※木※木※九※󰀅※〕
㭞	〔※木※小※丿※力※〕
㭟	〔※󰁺※八※木※󰁧※〕
㭠	〔※木※丿※土※儿※〕
㭡	〔※木※丿※囗※乂※〕
㭢	〔※木※一※廾※刂※〕
㭣	〔※木※门※口※󰀝※〕
㭤	〔※木※󰁠※一※󰀝※〕
㭥	〔※木※⺈※贝※󰁶※〕
㭦	〔※木※宀※丿※七※〕
㭧	〔※丿※󰁪※木※󰁧※〕
㭨	〔※木※󰀄※亅※阝※〕
㭩	〔※木※爫※寸※󰁶※〕
㭪	〔※木※甫※󰁶※※〕
㭫	〔※木※人※人※土※〕
㭬	〔※木※一※󰀓※󰁶※〕
㭭	〔※木※口※力※刂※〕
㭮	〔※木※巛※一※夕※〕
㭯	〔※木※耳※乚※󰁀※〕
㭰	〔※止※匕※木※冂※〕
㭱	〔※木※匚※甲※󰀢※〕
㭲	〔※木※八※人※口※〕
㭳	〔※木※土※丿※子※〕
㭴	〔※木※󰀭※又※土※〕
㭵	〔※木※勹※田※󰀝※〕
㭶	〔※木※艹※方※󰁥※〕
㭷	〔※木※田※力※󰁥※〕
㭸	〔※木※⺈※口※丶※〕
㭹	〔※木※弓※亠※幺※〕
㭺	〔※木※大※日※乚※〕
㭻	〔※木※⺌※冂※口※〕
㭼	〔※木※水※日※󰀝※〕
㭽	〔※木※广※󰁚※丶※〕
㭾	〔※木※尸※凵※山※〕
㭿	〔※木※日※󰁚※卩※〕
㮀	〔※木※了※󰀪※凵※〕
㮁	〔※木※乂※󰁼※月※〕
㮂	〔※目※大※木※󰁧※〕
㮃	〔※木※禾※女※󰀝※〕
㮄	〔※木※二※勹※方※〕
㮅	〔※木※亻※󰁷※󰀘※〕
㮆	〔※木※人※羊※󰀢※〕
㮇	〔※木※一※大※⺗※〕
㮈	〔※木※大※二※小※〕
㮉	〔※木※亻※一※大※〕
㮊	〔※木※󰁻※乛※木※〕
㮋	〔※木※󰁼※月※阝※〕
㮌	〔※木※丆※囗※二※〕
㮍	〔※䒑※月※刂※木※〕
㮎	〔※木※丆※卜※皿※〕
㮏	〔※木※木※二※小※〕
㮐	〔※木※小※丿※目※〕
㮑	〔※木※丿※十※臼※〕
㮒	〔※木※覀※土※󰀝※〕
㮓	〔※木※忄※一※一※〕
㮔	〔※木※丿※一※土※〕
㮕	〔※木※丆※冂※大※〕
㮖	〔※木※廿※󰀜※󰀢※〕
㮗	〔※󰁻※乛※亅※木※〕
㮘	〔※木※󰁻※乛※攵※〕
㮙	〔※木※口※口※󰁔※〕
㮚	〔※󰀥※囗※人※木※〕
㮛	〔※木※日※一※󰁾※〕
㮜	〔※木※匚※爿※士※〕
㮝	〔※木※八※人※卩※〕
㮞	〔※木※冫※⺈※口※〕
㮟	〔※木※石※木※󰁶※〕
㮠	〔※木※艹※冖※木※〕
㮡	〔※火※匚※󰁃※木※〕
㮢	〔※木※亻※󰁄※大※〕
㮣	〔※󰁮※󰀄※󰁜※木※〕
㮤	〔※宀※八※人※木※〕
㮥	〔※木※厶※大※田※〕
㮦	〔※木※十※冖※小※〕
㮧	〔※木※󰁞※灬※󰁶※〕
㮨	〔※木※田※八※夂※〕
㮩	〔※木※丿※目※心※〕
㮪	〔※木※工※几※木※〕
㮫	〔※木※宀※三※口※〕
㮬	〔※木※八※厶※羽※〕
㮭	〔※木※󰁻※囗※十※〕
㮮	〔※木※三※丨※手※〕
㮯	〔※木※囗※一※󰀓※〕
㮰	〔※木※丿※囗※匕※〕
㮱	〔※木※艹※丿※儿※〕
㮲	〔※木※勹※凵※丿※〕
㮳	〔※木※月※䒑※大※〕
㮴	〔※木※臼※丨※又※〕
㮵	〔※木※方※󰁿※亠※〕
㮶	〔※木※䒑※凵※月※〕
㮷	〔※木※󰁼※乚※日※〕
㮸	〔※木※䒑※大※辶※〕
㮹	〔※木※一※厶※攵※〕
㮺	〔※木※一※口※口※〕
㮻	〔※木※又※丶※虫※〕
㮼	〔※木※丶※尸※羽※〕
㮽	〔※木※丿※󰁪※又※〕
㮾	〔※丶※󰁮※月※木※〕
㮿	〔※木※日※艹※󰀟※〕
㯀	〔※木※方※󰁿※󰁾※〕
㯁	〔※木※阝※立※口※〕
㯂	〔※木※廿※儿※丨※〕
㯃	〔※木※木※人※氺※〕
㯄	〔※木※木※⺁※巴※〕
㯅	〔※木※广※白※十※〕
㯆	〔※木※立※丿※󰁽※〕
㯇	〔※木※丨※三※土※〕
㯈	〔※木※木※口※辶※〕
㯉	〔※木※虍※丿※󰀛※〕
㯊	〔※木※一※止※灬※〕
㯋	〔※匕※木※丆※貝※〕
㯌	〔※木※一※󰀓※辶※〕
㯍	〔※木※爿※󰁝※寸※〕
㯎	〔※木※言※木※󰁶※〕
㯏	〔※士※󰁅※几※木※〕
㯐	〔※阝※󰁼※工※木※〕
㯑	〔※木※弓※󰀍※󰀖※〕
㯒	〔※木※爫※目※儿※〕
㯓	〔※木※人※一※羽※〕
㯔	〔※毛※毛※毛※木※〕
㯕	〔※木※󰀎※八※斤※〕
㯖	〔※木※十※罒※心※〕
㯗	〔※木※門※木※󰁶※〕
㯘	〔※木※士※二※人※〕
㯙	〔※木※亠※厶※攵※〕
㯚	〔※木※⺮※人※口※〕
㯛	〔※木※士※冖※一※〕
㯜	〔※木※艹※亠※十※〕
㯝	〔※木※口※止※口※〕
㯞	〔※木※糹※口※月※〕
㯟	〔※木※木※󰁭※氺※〕
㯠	〔※木※亠※幺※󰀟※〕
㯡	〔※木※人※氺※巳※〕
㯢	〔※木※巳※巳※八※〕
㯣	〔※木※艹※八※木※〕
㯤	〔※木※人※人※人※〕
㯥	〔※木※日※木※日※〕
㯦	〔※木※󰀎※八※木※〕
㯧	〔※木※土※󰁾※口※〕
㯨	〔※木※覀※米※󰁶※〕
㯩	〔※又※又※又※人※〕
㯪	〔※木※󰀙※人※󰁻※〕
㯫	〔※木※虍※一※󰀓※〕
㯬	〔※木※木※󰁬※廴※〕
㯭	〔※木※虍※田※力※〕
㯮	〔※木※罒※勹※虫※〕
㯯	〔※木※夂※㐄※貝※〕
㯰	〔※木※罒※十※󰀣※〕
㯱	〔※一※口※丨※木※〕
㯲	〔※木※木※木※小※〕
㯳	〔※木※艹※勹※攵※〕
㯴	〔※木※艹※宀※口※〕
㯵	〔※木※艹※丿※土※〕
㯶	〔※木※󰁘※凵※夂※〕
㯷	〔※木※亻※业※夫※〕
㯸	〔※木※󰁬※丨※皿※〕
㯹	〔※木※覀※二※寸※〕
㯺	〔※匚※丨※󰁃※木※〕
㯻	〔※一※口※丨※木※〕
㯼	〔※木※艹※土※皿※〕
㯽	〔※木※宀※󰁅※貝※〕
㯾	〔※木※一※󰀿※辶※〕
㯿	〔※木※巛※囗※󰁒※〕
㰀	〔※木※禾※勹※氺※〕
㰁	〔※木※石※石※石※〕
㰂	〔※木※宀※丿※田※〕
㰃	〔※木※白※冂※小※〕
㰄	〔※木※貝※戈※戈※〕
㰅	〔※木※亠※丷※辶※〕
㰆	〔※一※口※丨※木※〕
㰇	〔※木※十※戈※󰀞※〕
㰈	〔※木※木※車※辶※〕
㰉	〔※木※一※厶※禾※〕
㰊	〔※木※土※八※火※〕
㰋	〔※木※止※󰀤※貝※〕
㰌	〔※木※󰀙※亻※󰁷※〕
㰍	〔※立※月※一※木※〕
㰎	〔※木※山※亻※󰂁※〕
㰏	〔※木※⺮※󰁸※口※〕
㰐	〔※木※阝※󰁼※辶※〕
㰑	〔※木※心※心※木※〕
㰒	〔※木※󰀗※乂※子※〕
㰓	〔※木※匚※丨※貝※〕
㰔	〔※木※言※火※又※〕
㰕	〔※木※丷※王※丶※〕
㰖	〔※木※匚※丨※儿※〕
㰗	〔※木※戊※上※󰁾※〕
㰘	〔※木※彑※米※廾※〕
㰙	〔※木※廿※口※󰁷※〕
㰚	〔※木※亠※乂※󰁷※〕
㰛	〔※木※艹※白※木※〕
㰜	〔※木※十※󰀣※貝※〕
㰝	〔※󰁂※⺈※人※󰁶※〕
㰞	〔※山※⺈※人※󰁶※〕
㰟	〔※气※⺈※人※󰁶※〕
㰠	〔※亠※几※⺈※人※〕
㰡	〔※人※󰀯※⺈※人※〕
㰢	〔※一※廾※⺈※人※〕
㰣	〔※止※󰁴※⺈※人※〕
㰤	〔※丁※口※⺈※人※〕
㰥	〔※廿※󰁐※⺈※人※〕
㰦	〔※土※厶※⺈※人※〕
㰧	〔※厶※口※⺈※人※〕
㰨	〔※口※八※⺈※人※〕
㰩	〔※虫※⺈※人※󰁶※〕
㰪	〔※土※土※⺈※人※〕
㰫	〔※丿※土※儿※人※〕
㰬	〔※勹※日※⺈※人※〕
㰭	〔※大※二※󰁔※人※〕
㰮	〔※厂※二※󰀖※人※〕
㰯	〔※一※口※䒑※人※〕
㰰	〔※大※人※人※人※〕
㰱	〔※丿※一※日※人※〕
㰲	〔※戈※口※󰀞※人※〕
㰳	〔※一※󰀚※󰀞※人※〕
㰴	〔※立※口※⺈※人※〕
㰵	〔※亠※人※人※人※〕
㰶	〔※夂※卜※口※人※〕
㰷	〔※一※夕※󰁴※人※〕
㰸	〔※人※一※口※人※〕
㰹	〔※戊※一※口※人※〕
㰺	〔※󰁃※丨※二※人※〕
㰻	〔※士※口※䒑※人※〕
㰼	〔※匚※大※人※人※〕
㰽	〔※匚※日※女※人※〕
㰾	〔※白※方※⺈※人※〕
㰿	〔※爫※幺※大※人※〕
㱀	〔※勹※凵※丿※人※〕
㱁	〔※凵※山※二※人※〕
㱂	〔※广※󰁬※氺※人※〕
㱃	〔※人※丶※乛※人※〕
㱄	〔※󰀹※土※灬※人※〕
㱅	〔※士※冖※一※人※〕
㱆	〔※虍※一※口※人※〕
㱇	〔※土※人※人※人※〕
㱈	〔※木※木※二※人※〕
㱉	〔※业※䒑※未※人※〕
㱊	〔※丆※󰀐※冖※人※〕
㱋	〔※󰀙※亻※󰁷※人※〕
㱌	〔※耳※耳※耳※人※〕
㱍	〔※言※糹※糹※人※〕
㱎	〔※罒※󰀫※󰁢※人※〕
㱏	〔※二※止※󰀘※※〕
㱐	〔※二※止※丶※󰀦※〕
㱑	〔※止※夕※󰁧※※〕
㱒	〔※止※丁※口※󰀘※〕
㱓	〔※止※人※丶※󰁻※〕
㱔	〔※止※匕※夕※󰁧※〕
㱕	〔※止※彐※冖※丨※〕
㱖	〔※止※亠※人※十※〕
㱗	〔※止※丿※目※犬※〕
㱘	〔※厂※日※月※止※〕
㱙	〔※一※夕※一※󰁔※〕
㱚	〔※一※夕※月※󰀝※〕
㱛	〔※一※夕※一※夕※〕
㱜	〔※一※夕※󰁾※󰁶※〕
㱝	〔※一※夕※󰁴※力※〕
㱞	〔※一※夕※立※󰀝※〕
㱟	〔※一※夕※皮※󰁶※〕
㱠	〔※一※夕※古※󰀝※〕
㱡	〔※一※夕※丿※儿※〕
㱢	〔※一※夕※丶※艮※〕
㱣	〔※一※夕※爫※女※〕
㱤	〔※一※夕※木※斤※〕
㱥	〔※一※夕※土※夂※〕
㱦	〔※一※夕※大※口※〕
㱧	〔※一※夕※宀※㔾※〕
㱨	〔※一※夕※宀※󰁾※〕
㱩	〔※一※夕※十※大※〕
㱪	〔※一※夕※󰁂※日※〕
㱫	〔※一※夕※木※󰀹※〕
㱬	〔※一※夕※田※󰀖※〕
㱭	〔※一※夕※丿※又※〕
㱮	〔※一※夕※口※贝※〕
㱯	〔※一※夕※山※䒑※〕
㱰	〔※一※夕※宀※辛※〕
㱱	〔※一※夕※白※厶※〕
㱲	〔※一※夕※䒑※皿※〕
㱳	〔※艹※日※大※夕※〕
㱴	〔※一※夕※󰁽※貝※〕
㱵	〔※一※夕※十※貝※〕
㱶	〔※一※夕※士※彡※〕
㱷	〔※一※夕※亻※木※〕
㱸	〔※一※夕※尸※辛※〕
㱹	〔※一※夕※厂※止※〕
㱺	〔※一※夕※虍※皿※〕
㱻	〔※一※夕※吂※丶※〕
㱼	〔※󰁂※几※又※󰁶※〕
㱽	〔※冖※󰁜※几※又※〕
㱾	〔※亠※󰂂※丿※又※〕
㱿	〔※士※冂※一※又※〕
㲀	〔※厂※二※󰀖※又※〕
㲁	〔※宀※八※工※又※〕
㲂	〔※⺌※冂※口※又※〕
㲃	〔※󰀥※日※󰁴※又※〕
㲄	〔※士※冖※王※又※〕
㲅	〔※宀※三※丨※又※〕
㲆	〔※士※󰁅※几※󰁻※〕
㲇	〔※士※󰁅※几※󰁦※〕
㲈	〔※士※󰁅※几※口※〕
㲉	〔※士※冖※一※又※〕
㲊	〔※󰀥※冖※一※又※〕
㲋	〔※⺈※口※󰁴※匕※〕
㲌	〔※毛※乃※󰀏※※〕
㲍	〔※十※又※毛※󰁫※〕
㲎	〔※毛※毛※󰁀※※〕
㲏	〔※丿※丨※一※毛※〕
㲐	〔※毛※人※丶※乛※〕
㲑	〔※毛※水※󰀦※※〕
㲒	〔※勹※口※毛※󰁀※〕
㲓	〔※毛※戈※人※󰀦※〕
㲔	〔※辛※毛※󰁀※※〕
㲕	〔※爫※寸※毛※󰁀※〕
㲖	〔※⺌※月※毛※󰁀※〕
㲗	〔※爫※孑※毛※󰁀※〕
㲘	〔※貝※毛※󰁀※※〕
㲙	〔※毛※亠※厶※󰀸※〕
㲚	〔※氵※小※丿※毛※〕
㲛	〔※󰁿※大※口※毛※〕
㲜	〔※火※火※毛※󰁀※〕
㲝	〔※毛※亻※󰁷※󰀌※〕
㲞	〔※亠※人※人※毛※〕
㲟	〔※艹※󰀿※大※毛※〕
㲠	〔※未※攵※毛※󰀅※〕
㲡	〔※木※二※小※毛※〕
㲢	〔※丶※尸※冂※毛※〕
㲣	〔※臼※丨※又※毛※〕
㲤	〔※亠※口※一※毛※〕
㲥	〔※广※󰁬※丨※毛※〕
㲦	〔※十※早※人※毛※〕
㲧	〔※毛※又※丶※虫※〕
㲨	〔※艹※耳※毛※󰁀※〕
㲩	〔※毛※日※羽※󰀌※〕
㲪	〔※癶※一※口※毛※〕
㲫	〔※业※䒑※夫※毛※〕
㲬	〔※亻※󰁷※灬※毛※〕
㲭	〔※火※火※火※毛※〕
㲮	〔※毛※⺮※人※口※〕
㲯	〔※匚※丨※󰁃※毛※〕
㲰	〔※宀※心※皿※毛※〕
㲱	〔※毛※巛※囗※󰁒※〕
㲲	〔※又※又※又※毛※〕
㲳	〔※󰁚※󰀁※丶※夫※〕
㲴	〔※气※口※丨※󰀵※〕
㲵	〔※气※⺌※月※󰀌※〕
㲶	〔※气※󰀥※囗※󰁘※〕
㲷	〔※气※口※口※十※〕
㲸	〔※氵※乙※󰁀※※〕
㲹	〔※氵※几※󰁀※※〕
㲺	〔※氵※七※󰁀※※〕
㲻	〔※亻※水※󰁶※※〕
㲼	〔※氵※乂※󰁶※※〕
㲽	〔※氵※刀※丶※󰁶※〕
㲾	〔※宀※水※󰁧※※〕
㲿	〔※氵※广※󰁥※※〕
㳀	〔※氵※戈※󰁶※※〕
