⺁	〔※⺁※丿※丿※※〕
㑿	〔※亻※巛※日※木※〕
㒀	〔※亻※亠※丷※古※〕
㒁	〔※亻※囗※土※十※〕
㒂	〔※亻※艹※土※日※〕
㒃	〔※亻※󰀁※二※丶※〕
㒄	〔※亻※󰁝※犬※灬※〕
㒅	〔※亻※亠※夕※󰀔※〕
㒆	〔※亻※人※一※羽※〕
㒇	〔※亻※󰁿※一※灬※〕
㒈	〔※亻※乛※耳※攵※〕
㒉	〔※亻※⺌※冖※木※〕
㒊	〔※亻※刀※丶※止※〕
㒋	〔※亻※󰀎※八※斤※〕
㒌	〔※亻※火※火※几※〕
㒍	〔※亻※厶※厶※小※〕
㒎	〔※亻※丿※大※三※〕
㒏	〔※亻※宀※󰀀※󰁦※〕
㒐	〔※亻※⺮※勹※日※〕
㒑	〔※亻※匚※氵※󰁷※〕
㒒	〔※亻※业※䒑※未※〕
㒓	〔※亻※土※䒑※辶※〕
㒔	〔※亻※罒※勹※虫※〕
㒕	〔※亻※亠※󰁲※󰁷※〕
㒖	〔※亻※艹※日※丶※〕
㒗	〔※亻※艹※二※土※〕
㒘	〔※亻※匚※丨※立※〕
㒙	〔※亻※糹※白※丨※〕
㒚	〔※亻※爫※工※心※〕
㒛	〔※亻※羽※亻※󰁷※〕
㒜	〔※亻※󰀗※一※八※〕
㒝	〔※亻※艹※罒※人※〕
㒞	〔※亻※山※亻※󰂁※〕
㒟	〔※亻※亠※󰀋※󰀔※〕
㒠	〔※亻※󰀥※夕※一※〕
㒡	〔※亻※爫※󰁿※小※〕
㒢	〔※亻※人※一※艹※〕
㒣	〔※亻※广※亻※心※〕
㒤	〔※亻※耳※耳※耳※〕
㒥	〔※亻※山※三※䒑※〕
㒦	〔※亻※田※田※土※〕
㒧	〔※亻※亠※乂※󰁷※〕
㒨	〔※亻※󰀗※丿※巳※〕
㒩	〔※亻※彑※󰀓※虫※〕
㒪	〔※人※匚※丨※󰀓※〕
㒫	〔※一※丨※二※儿※〕
㒬	〔※二※儿※王※󰀌※〕
㒭	〔※口※儿※口※儿※〕
㒮	〔※二※儿※一※󰀓※〕
㒯	〔※⺌※一※儿※󰀟※〕
㒰	〔※丿※󰂃※工※󰀘※〕
㒱	〔※丿※󰂃※夕※󰁧※〕
㒲	〔※丿※󰂃※日※󰀘※〕
㒳	〔※冂※丨※丿※丶※〕
㒴	〔※丿※󰂃※凵※山※〕
㒵	〔※白※八※󰁧※※〕
㒶	〔※八※白※󰀘※※〕
㒷	〔※󰀿※人※一※八※〕
㒸	〔※䒑※󰀓※󰁧※※〕
㒹	〔※十※󰀣※八※八※〕
㒺	〔※冂※䒑※人※󰁐※〕
㒻	〔※󰀰※目※儿※󰀅※〕
㒼	〔※廿※冂※丨※丶※〕
㒽	〔※󰀰※丷※夫※㔾※〕
㒾	〔※󰀰※方※󰁿※也※〕
㒿	〔※󰀰※亠※乂※󰁷※〕
㓀	〔※冖※卜※󰁧※※〕
㓁	〔※冖※八※󰁧※※〕
㓂	〔※冖※二※儿※女※〕
㓃	〔※冖※言※丿※七※〕
㓄	〔※厶※厶※厶※󰁜※〕
㓅	〔※冫※丁※󰀢※※〕
㓆	〔※冫※人※匕※󰁀※〕
㓇	〔※冫※丿※大※󰁶※〕
㓈	〔※冫※石※󰀝※※〕
㓉	〔※冫※丿※古※󰀝※〕
㓊	〔※冫※冂※一※口※〕
㓋	〔※冫※󰁺※八※󰁶※〕
㓌	〔※冫※人※王※󰀝※〕
㓍	〔※冫※亠※厶※儿※〕
㓎	〔※冫※彐※冖※又※〕
㓏	〔※冫※冂※八※口※〕
㓐	〔※冫※土※八※土※〕
